[2019-09-02 11:59:20] [INFO   ] Connecting to the MongoDB database knowingipr 
[2019-09-02 11:59:21] [INFO   ] host: jdbc:mariadb://localhost/knowingipr_knowledge?usePipelineAuth=false
username: root
password: root
driver: org.mariadb.jdbc.Driver 
[2019-09-02 12:01:55] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_49.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_5.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_5.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_50.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_50.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_51.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_51.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_52.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_52.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_53.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_53.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_54.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_54.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_55.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_55.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_56.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_56.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_57.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_57.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
[2019-09-02 12:01:56] [FINER  ] Parsing done 
[2019-09-02 12:01:56] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_58.jsonl 
[2019-09-02 12:01:56] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_58.jsonl 
[2019-09-02 12:01:56] [FINER  ] Beginning insert 
[2019-09-02 12:01:56] [FINER  ] Inserting done 
